%
Observatory Name: VENUS
Region: Saanich Inlet
Node Location: Central Node
Study Area: VIP
Site: VIP-16 from: 2012-Feb-26 to: 2012-Aug-12 Latitude(decdeg N): 48.6514 Longitude(decdeg W): 123.4791 Depth(m): 96
Site: VIP-17 from: 2012-Aug-12 to: 2012-Sep-22 Latitude(decdeg N): 48.6513 Longitude(decdeg W): 123.4864 Depth(m): 96
Water Property: Oxygen Units: ml/l
Device: Aanderaa Optode 4175 (S/N 18) from: 2011-Oct-02 to: 2012-Aug-12
Device: Aanderaa Optode 4175 (S/N 1684) from: 2012-Aug-13 to: 2012-Sep-22
Sample Period: 60s from:2011-10-04 to: 2012-08-13
Sample Period: 60s from:2012-08-13 to: 2012-09-22
This data set was concatenated from multiple devices and sites in the VIP study area.
This data has been averaged into 10 minute intervals.
Time given is the middle of the averaging bin. The mean of the time bin is also given.
Time Format: number of decimal days from the start of the current year (Start Time)
Data Gaps are represented by NaN's (Not a Number). See metadata for more information.
QC Flag: 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information.
Start Time: 2012-01-01 00:00:00
Time Zone: UTC
%
Time (UTC) , Oxygen (ml/l) , Oxygen QC Flag , Oxygen Number Data Averaged , Oxygen Standard Deviation , Oxygen Bin Time Mean
202.899306 ,   0.979706 , 7 , 9 ,   0.005566 , 202.899639
202.906250 ,   0.999169 , 7 , 10 ,   0.003815 , 202.906236
202.913194 ,   0.994469 , 7 , 10 ,   0.003648 , 202.913181
202.920139 ,   0.983972 , 7 , 10 ,   0.002513 , 202.920125
202.927083 ,   0.992234 , 7 , 10 ,   0.007145 , 202.927070
202.934028 ,   1.017951 , 7 , 10 ,   0.011977 , 202.934014
202.940972 ,   1.040961 , 7 , 10 ,   0.002571 , 202.940958
202.947917 ,   1.032281 , 7 , 10 ,   0.003247 , 202.947903
202.954861 ,   1.032962 , 7 , 10 ,   0.005155 , 202.954847
202.961806 ,   1.021448 , 7 , 10 ,   0.005964 , 202.961792
202.968750 ,   1.073654 , 7 , 10 ,   0.030279 , 202.968736
202.975694 ,   1.181564 , 7 , 10 ,   0.030083 , 202.975681
202.982639 ,   1.191308 , 7 , 10 ,   0.025636 , 202.982625
202.989583 ,   1.103331 , 7 , 10 ,   0.012637 , 202.989570
202.996528 ,   1.095760 , 7 , 10 ,   0.006558 , 202.996514
203.003472 ,   1.102665 , 7 , 10 ,   0.005806 , 203.003458
203.010417 ,   1.088600 , 7 , 10 ,   0.020867 , 203.010403
203.017361 ,   1.138320 , 7 , 10 ,   0.005547 , 203.017347
203.024306 ,   1.185931 , 7 , 10 ,   0.032403 , 203.024292
203.031250 ,   1.229286 , 7 , 10 ,   0.018332 , 203.031236
203.038194 ,   1.189657 , 7 , 10 ,   0.011203 , 203.038181
203.045139 ,   1.153828 , 7 , 10 ,   0.004318 , 203.045125
203.052083 ,   1.147261 , 7 , 10 ,   0.003635 , 203.052070
203.059028 ,   1.226537 , 7 , 10 ,   0.036303 , 203.059014
203.065972 ,   1.258165 , 7 , 10 ,   0.020821 , 203.065958
203.072917 ,   1.263791 , 7 , 10 ,   0.020947 , 203.072903
203.079861 ,   1.293991 , 7 , 10 ,   0.010939 , 203.079847
203.086806 ,   1.272484 , 7 , 10 ,   0.011727 , 203.086792
203.093750 ,   1.246152 , 7 , 10 ,   0.014360 , 203.093736
203.100694 ,   1.217604 , 7 , 10 ,   0.005447 , 203.100681
203.107639 ,   1.181280 , 7 , 10 ,   0.028493 , 203.107625
203.114583 ,   1.171105 , 7 , 10 ,   0.021422 , 203.114570
203.121528 ,   1.114809 , 7 , 10 ,   0.029143 , 203.121514
203.128472 ,   1.161742 , 7 , 10 ,   0.018706 , 203.128458
203.135417 ,   1.073533 , 7 , 10 ,   0.032449 , 203.135403
203.142361 ,   1.121573 , 7 , 10 ,   0.006054 , 203.142347
203.149306 ,   1.074976 , 7 , 10 ,   0.036169 , 203.149292
203.156250 ,   1.011710 , 7 , 10 ,   0.002298 , 203.156236
203.163194 ,   1.011175 , 7 , 10 ,   0.003920 , 203.163181
203.170139 ,   1.070894 , 7 , 10 ,   0.018788 , 203.170125
203.177083 ,   1.096072 , 7 , 10 ,   0.002818 , 203.177070
203.184028 ,   1.133504 , 7 , 10 ,   0.021743 , 203.184014
203.190972 ,   1.160773 , 7 , 10 ,   0.002268 , 203.190958
203.197917 ,   1.167370 , 7 , 10 ,   0.002532 , 203.197903
203.204861 ,   1.171129 , 7 , 10 ,   0.008914 , 203.204847
203.211806 ,   1.182206 , 7 , 10 ,   0.000865 , 203.211792
203.218750 ,   1.180019 , 7 , 10 ,   0.000795 , 203.218736
203.225694 ,   1.180865 , 7 , 10 ,   0.004772 , 203.225681
203.232639 ,   1.240745 , 7 , 10 ,   0.021904 , 203.232625
203.239583 ,   1.314711 , 7 , 10 ,   0.017039 , 203.239570
203.246528 ,   1.314629 , 7 , 10 ,   0.009761 , 203.246514
203.253472 ,   1.295544 , 7 , 10 ,   0.003659 , 203.253458
203.260417 ,   1.288908 , 7 , 10 ,   0.002097 , 203.260403
203.267361 ,   1.284337 , 7 , 10 ,   0.001722 , 203.267347
203.274306 ,   1.278497 , 7 , 10 ,   0.001848 , 203.274292
203.281250 ,   1.264543 , 7 , 10 ,   0.006654 , 203.281236
203.288194 ,   1.241470 , 7 , 10 ,   0.007759 , 203.288181
203.295139 ,   1.246655 , 7 , 10 ,   0.015556 , 203.295125
203.302083 ,   1.330878 , 7 , 10 ,   0.018921 , 203.302070
203.309028 ,   1.411871 , 7 , 10 ,   0.031039 , 203.309014
